interaction,directionality,classification,modulatory_effect,interactor1,interactor2,cell1,cell2
ADAM10 -> EPHA3,,,,ADAM10,EPHA3,STRIATUM_1,STRIATUM_2
ADAM10 -> EPHA3,,,,ADAM10,EPHA3,STRIATUM_1,STRIATUM_2
ADAM10 -> NRCAM,,,,ADAM10,NRCAM,STRIATUM_1,STRIATUM_2
TIMP2 -> ITGB1,,,,TIMP2,ITGB1,STRIATUM_1,STRIATUM_2
LGALS3BP -> ITGB1,,,,LGALS3BP,ITGB1,STRIATUM_1,STRIATUM_2
LGALS3BP -> ITGB1,,,,LGALS3BP,ITGB1,STRIATUM_1,STRIATUM_2
LGALS3BP -> ITGB1,,,,LGALS3BP,ITGB1,STRIATUM_1,STRIATUM_2
LGALS3BP -> ITGB1,,,,LGALS3BP,ITGB1,STRIATUM_1,STRIATUM_2
IL1B -> SIGIRR,,,,IL1B,SIGIRR,STRIATUM_1,STRIATUM_2
IL1B -> IL1RAP,,,,IL1B,IL1RAP,STRIATUM_1,STRIATUM_2
IL1B -> IL1RAP,,,,IL1B,IL1RAP,STRIATUM_1,STRIATUM_2
IL1B -> IL1RAP,,,,IL1B,IL1RAP,STRIATUM_1,STRIATUM_2
IL1B -> IL1RAP,,,,IL1B,IL1RAP,STRIATUM_1,STRIATUM_2
NID1 -> ITGB1,,,,NID1,ITGB1,STRIATUM_1,STRIATUM_2
NID1 -> COL13A1,,,,NID1,COL13A1,STRIATUM_1,STRIATUM_2
NMU -> GRM7,,,,NMU,GRM7,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
SEMA3C -> NRP2,Ligand-Receptor,Signaling by Semaphorin,,SEMA3C,NRP2,STRIATUM_1,STRIATUM_2
CGN -> TGFBR2,,,,CGN,TGFBR2,STRIATUM_1,STRIATUM_2
CGN -> TGFBR1,,,,CGN,TGFBR1,STRIATUM_1,STRIATUM_2
CALM2 -> KCNQ5,,,,CALM2,KCNQ5,STRIATUM_1,STRIATUM_2
CALM2 -> GRM7,,,,CALM2,GRM7,STRIATUM_1,STRIATUM_2
CALM2 -> GRM7,,,,CALM2,GRM7,STRIATUM_1,STRIATUM_2
CALM2 -> GRM7,,,,CALM2,GRM7,STRIATUM_1,STRIATUM_2
CALM2 -> GRM7,,,,CALM2,GRM7,STRIATUM_1,STRIATUM_2
CALM2 -> MYLK,,,,CALM2,MYLK,STRIATUM_1,STRIATUM_2
CALM2 -> MYLK,,,,CALM2,MYLK,STRIATUM_1,STRIATUM_2
CALM2 -> MYLK,,,,CALM2,MYLK,STRIATUM_1,STRIATUM_2
CALM2 -> MYLK,,,,CALM2,MYLK,STRIATUM_1,STRIATUM_2
CALM2 -> PDE1A,,,,CALM2,PDE1A,STRIATUM_1,STRIATUM_2
CALM2 -> INSR,,,,CALM2,INSR,STRIATUM_1,STRIATUM_2
MEGF10 -> ABCA1,,,,MEGF10,ABCA1,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> LGR4,Ligand-Receptor,Signaling by R-spondin,,RSPO2,LGR4,STRIATUM_1,STRIATUM_2
RSPO2 -> ZNRF3,,,,RSPO2,ZNRF3,STRIATUM_1,STRIATUM_2
RSPO2 -> ZNRF3,,,,RSPO2,ZNRF3,STRIATUM_1,STRIATUM_2
RSPO2 -> ZNRF3,,,,RSPO2,ZNRF3,STRIATUM_1,STRIATUM_2
RSPO2 -> ZNRF3,,,,RSPO2,ZNRF3,STRIATUM_1,STRIATUM_2
LIN7C -> ABCA1,,,,LIN7C,ABCA1,STRIATUM_1,STRIATUM_2
LIN7C -> ABCA1,,,,LIN7C,ABCA1,STRIATUM_1,STRIATUM_2
LIN7C -> ABCA1,,,,LIN7C,ABCA1,STRIATUM_1,STRIATUM_2
LIN7C -> ABCA1,,,,LIN7C,ABCA1,STRIATUM_1,STRIATUM_2
APP -> GRM7,,,,APP,GRM7,STRIATUM_1,STRIATUM_2
APP -> LRP10,,,,APP,LRP10,STRIATUM_1,STRIATUM_2
APP -> LRP10,,,,APP,LRP10,STRIATUM_1,STRIATUM_2
APP -> LRP10,,,,APP,LRP10,STRIATUM_1,STRIATUM_2
APP -> LRP10,,,,APP,LRP10,STRIATUM_1,STRIATUM_2
APP -> TSPAN15,,,,APP,TSPAN15,STRIATUM_1,STRIATUM_2
APP -> TSPAN15,,,,APP,TSPAN15,STRIATUM_1,STRIATUM_2
APP -> TSPAN15,,,,APP,TSPAN15,STRIATUM_1,STRIATUM_2
APP -> TSPAN15,,,,APP,TSPAN15,STRIATUM_1,STRIATUM_2
WIF1 -> RYK,,,,WIF1,RYK,STRIATUM_1,STRIATUM_2
CALM3 -> KCNQ5,,,,CALM3,KCNQ5,STRIATUM_1,STRIATUM_2
CALM3 -> GRM7,,,,CALM3,GRM7,STRIATUM_1,STRIATUM_2
CALM3 -> GRM7,,,,CALM3,GRM7,STRIATUM_1,STRIATUM_2
CALM3 -> GRM7,,,,CALM3,GRM7,STRIATUM_1,STRIATUM_2
CALM3 -> GRM7,,,,CALM3,GRM7,STRIATUM_1,STRIATUM_2
CALM3 -> MYLK,,,,CALM3,MYLK,STRIATUM_1,STRIATUM_2
CALM3 -> MYLK,,,,CALM3,MYLK,STRIATUM_1,STRIATUM_2
CALM3 -> MYLK,,,,CALM3,MYLK,STRIATUM_1,STRIATUM_2
CALM3 -> MYLK,,,,CALM3,MYLK,STRIATUM_1,STRIATUM_2
CALM3 -> PDE1A,,,,CALM3,PDE1A,STRIATUM_1,STRIATUM_2
CALM3 -> INSR,,,,CALM3,INSR,STRIATUM_1,STRIATUM_2
CALM3 -> RYR2,,,,CALM3,RYR2,STRIATUM_1,STRIATUM_2
CALM3 -> AR,,,,CALM3,AR,STRIATUM_1,STRIATUM_2
S100B -> ALCAM,,,,S100B,ALCAM,STRIATUM_1,STRIATUM_2
S100B -> ALCAM,,,,S100B,ALCAM,STRIATUM_1,STRIATUM_2
S100B -> ALCAM,,,,S100B,ALCAM,STRIATUM_1,STRIATUM_2
S100B -> ALCAM,,,,S100B,ALCAM,STRIATUM_1,STRIATUM_2
SHANK1 -> ABCA1,,,,SHANK1,ABCA1,STRIATUM_1,STRIATUM_2
SHANK1 -> SSTR2,,,,SHANK1,SSTR2,STRIATUM_1,STRIATUM_2
SHANK1 -> ADGRL1,,,,SHANK1,ADGRL1,STRIATUM_1,STRIATUM_2
COL6A3 -> ITGB1,,,,COL6A3,ITGB1,STRIATUM_1,STRIATUM_2
FABP5 -> RXRA,,,,FABP5,RXRA,STRIATUM_1,STRIATUM_2
VEGFD -> ITGB1,,,,VEGFD,ITGB1,STRIATUM_1,STRIATUM_2
VEGFD -> NRP2,,,,VEGFD,NRP2,STRIATUM_1,STRIATUM_2
VEGFD -> NRP2,,,,VEGFD,NRP2,STRIATUM_1,STRIATUM_2
VEGFD -> NRP2,,,,VEGFD,NRP2,STRIATUM_1,STRIATUM_2
VEGFD -> NRP2,,,,VEGFD,NRP2,STRIATUM_1,STRIATUM_2
ARF6 -> SMAP1,,,,ARF6,SMAP1,STRIATUM_1,STRIATUM_2
ADAM17 -> ITGB1,,,,ADAM17,ITGB1,STRIATUM_1,STRIATUM_2
ADAM17 -> ITGB1,,,,ADAM17,ITGB1,STRIATUM_1,STRIATUM_2
ADAM17 -> ITGB1,,,,ADAM17,ITGB1,STRIATUM_1,STRIATUM_2
ADAM17 -> ITGB1,,,,ADAM17,ITGB1,STRIATUM_1,STRIATUM_2
SEMA6D -> PLXNA1,,,,SEMA6D,PLXNA1,STRIATUM_1,STRIATUM_2
SEMA6D -> PLXNA1,,,,SEMA6D,PLXNA1,STRIATUM_1,STRIATUM_2
SEMA6D -> PLXNA1,,,,SEMA6D,PLXNA1,STRIATUM_1,STRIATUM_2
SEMA6D -> PLXNA1,,,,SEMA6D,PLXNA1,STRIATUM_1,STRIATUM_2
MTMR4 -> SMAD3,,,,MTMR4,SMAD3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA10,,,,EFNA5,EPHA10,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA10,,,,EFNA5,EPHA10,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA10,,,,EFNA5,EPHA10,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA10,,,,EFNA5,EPHA10,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA3,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA3,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHA5,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHA5,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
EFNA5 -> EPHB2,Ligand-Receptor,Signaling by Ephrin,,EFNA5,EPHB2,STRIATUM_1,STRIATUM_2
FBLN1 -> ITGB1,,,,FBLN1,ITGB1,STRIATUM_1,STRIATUM_2
FBLN1 -> ITGB1,,,,FBLN1,ITGB1,STRIATUM_1,STRIATUM_2
FBLN1 -> ITGB1,,,,FBLN1,ITGB1,STRIATUM_1,STRIATUM_2
FBLN1 -> ITGB1,,,,FBLN1,ITGB1,STRIATUM_1,STRIATUM_2
COL7A1 -> ITGB1,,,,COL7A1,ITGB1,STRIATUM_1,STRIATUM_2
RTN4 -> LINGO1,,,,RTN4,LINGO1,STRIATUM_1,STRIATUM_2
RTN4 -> LINGO1,,,,RTN4,LINGO1,STRIATUM_1,STRIATUM_2
RTN4 -> LINGO1,,,,RTN4,LINGO1,STRIATUM_1,STRIATUM_2
RTN4 -> LINGO1,,,,RTN4,LINGO1,STRIATUM_1,STRIATUM_2
PTN -> SDC3,,,,PTN,SDC3,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRZ1,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,PTPRZ1,STRIATUM_1,STRIATUM_2
PTN -> PTPRS,,,,PTN,PTPRS,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
PTN -> ALK,Ligand-Receptor,Signaling by Pleiotrophin,,PTN,ALK,STRIATUM_1,STRIATUM_2
FN1 -> ITGA6,,,,FN1,ITGA6,STRIATUM_1,STRIATUM_2
FN1 -> ITGB1,,,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGB1,,,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGB1,,,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> ITGB1,,,,FN1,ITGB1,STRIATUM_1,STRIATUM_2
FN1 -> COL13A1,,,,FN1,COL13A1,STRIATUM_1,STRIATUM_2
FN1 -> COL13A1,,,,FN1,COL13A1,STRIATUM_1,STRIATUM_2
FN1 -> COL13A1,,,,FN1,COL13A1,STRIATUM_1,STRIATUM_2
FN1 -> COL13A1,,,,FN1,COL13A1,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGB1,,,,ADAM15,ITGB1,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGB1,,,,ADAM15,ITGB1,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGB1,,,,ADAM15,ITGB1,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGB1,,,,ADAM15,ITGB1,STRIATUM_1,STRIATUM_2
CALM1 -> GRM7,,,,CALM1,GRM7,STRIATUM_1,STRIATUM_2
CALM1 -> MYLK,,,,CALM1,MYLK,STRIATUM_1,STRIATUM_2
CALM1 -> MYLK,,,,CALM1,MYLK,STRIATUM_1,STRIATUM_2
CALM1 -> MYLK,,,,CALM1,MYLK,STRIATUM_1,STRIATUM_2
CALM1 -> MYLK,,,,CALM1,MYLK,STRIATUM_1,STRIATUM_2
CALM1 -> PDE1A,,,,CALM1,PDE1A,STRIATUM_1,STRIATUM_2
CALM1 -> HMMR,,,,CALM1,HMMR,STRIATUM_1,STRIATUM_2
CALM1 -> OPRM1,,,,CALM1,OPRM1,STRIATUM_1,STRIATUM_2
CALM1 -> OPRM1,,,,CALM1,OPRM1,STRIATUM_1,STRIATUM_2
CALM1 -> OPRM1,,,,CALM1,OPRM1,STRIATUM_1,STRIATUM_2
CALM1 -> OPRM1,,,,CALM1,OPRM1,STRIATUM_1,STRIATUM_2
CALM1 -> RYR2,,,,CALM1,RYR2,STRIATUM_1,STRIATUM_2
CALM1 -> PTPRA,,,,CALM1,PTPRA,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGB1,,,,COL6A1,ITGB1,STRIATUM_1,STRIATUM_2
COL6A1 -> ITGA6,,,,COL6A1,ITGA6,STRIATUM_1,STRIATUM_2
C4BPA -> BMPR2,,,,C4BPA,BMPR2,STRIATUM_1,STRIATUM_2
L1CAM -> EPHB2,,,,L1CAM,EPHB2,STRIATUM_1,STRIATUM_2
L1CAM -> CNTN1,,,,L1CAM,CNTN1,STRIATUM_1,STRIATUM_2
L1CAM -> CNTN1,,,,L1CAM,CNTN1,STRIATUM_1,STRIATUM_2
L1CAM -> CNTN1,,,,L1CAM,CNTN1,STRIATUM_1,STRIATUM_2
L1CAM -> CNTN1,,,,L1CAM,CNTN1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGB1,,,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
SPTAN1 -> PTPRA,,,,SPTAN1,PTPRA,STRIATUM_1,STRIATUM_2
COL5A2 -> ITGB1,,,,COL5A2,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGB1,,,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGB1,,,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGB1,,,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGB1,,,,COL4A1,ITGB1,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B,,,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B,,,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B,,,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
BMP2 -> BMPR1B,,,,BMP2,BMPR1B,STRIATUM_1,STRIATUM_2
AFDN -> NECTIN3,,,,AFDN,NECTIN3,STRIATUM_1,STRIATUM_2
AFDN -> NECTIN3,,,,AFDN,NECTIN3,STRIATUM_1,STRIATUM_2
AFDN -> NECTIN3,,,,AFDN,NECTIN3,STRIATUM_1,STRIATUM_2
AFDN -> NECTIN3,,,,AFDN,NECTIN3,STRIATUM_1,STRIATUM_2
TCTN1 -> TMEM67,,,,TCTN1,TMEM67,STRIATUM_1,STRIATUM_2
TCTN1 -> TMEM67,,,,TCTN1,TMEM67,STRIATUM_1,STRIATUM_2
TCTN1 -> TMEM67,,,,TCTN1,TMEM67,STRIATUM_1,STRIATUM_2
TCTN1 -> TMEM67,,,,TCTN1,TMEM67,STRIATUM_1,STRIATUM_2
MDK -> ITGA6,,,,MDK,ITGA6,STRIATUM_1,STRIATUM_2
GDNF -> GFRA2,,,,GDNF,GFRA2,STRIATUM_1,STRIATUM_2
GDNF -> GFRA2,,,,GDNF,GFRA2,STRIATUM_1,STRIATUM_2
GDNF -> GFRA2,,,,GDNF,GFRA2,STRIATUM_1,STRIATUM_2
GDNF -> GFRA2,,,,GDNF,GFRA2,STRIATUM_1,STRIATUM_2
ST6GAL1 -> CD22,,,,ST6GAL1,CD22,STRIATUM_1,STRIATUM_2
ST6GAL1 -> CD22,,,,ST6GAL1,CD22,STRIATUM_1,STRIATUM_2
ST6GAL1 -> CD22,,,,ST6GAL1,CD22,STRIATUM_1,STRIATUM_2
ST6GAL1 -> CD22,,,,ST6GAL1,CD22,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
TGFB1 -> TGFBR3,Ligand-Receptor,Signaling by Transforming growth factor,,TGFB1,TGFBR3,STRIATUM_1,STRIATUM_2
FAM3C -> GLRA2,,,,FAM3C,GLRA2,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGB8,,,,COL4A1,ITGB8,STRIATUM_1,STRIATUM_2
FN1 -> ITGB8,,,,FN1,ITGB8,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A,,,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A,,,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A,,,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
BMP2 -> ACVR2A,,,,BMP2,ACVR2A,STRIATUM_1,STRIATUM_2
GDF11 -> ACVR2A,,,,GDF11,ACVR2A,STRIATUM_1,STRIATUM_2
GDF11 -> ACVR2A,,,,GDF11,ACVR2A,STRIATUM_1,STRIATUM_2
GDF11 -> ACVR2A,,,,GDF11,ACVR2A,STRIATUM_1,STRIATUM_2
GDF11 -> ACVR2A,,,,GDF11,ACVR2A,STRIATUM_1,STRIATUM_2
HLA-B -> CANX,,,,HLA-B,CANX,STRIATUM_1,STRIATUM_2
ARF1 -> CHRM3,,,,ARF1,CHRM3,STRIATUM_1,STRIATUM_2
PSAP -> SORT1,,,,PSAP,SORT1,STRIATUM_1,STRIATUM_2
HMGB1 -> TLR2,,,,HMGB1,TLR2,STRIATUM_1,STRIATUM_2
HMGB1 -> TLR2,,,,HMGB1,TLR2,STRIATUM_1,STRIATUM_2
HMGB1 -> TLR2,,,,HMGB1,TLR2,STRIATUM_1,STRIATUM_2
HMGB1 -> TLR2,,,,HMGB1,TLR2,STRIATUM_1,STRIATUM_2
HSP90B1 -> TLR2,,,,HSP90B1,TLR2,STRIATUM_1,STRIATUM_2
HSP90B1 -> TLR2,,,,HSP90B1,TLR2,STRIATUM_1,STRIATUM_2
HSP90B1 -> TLR2,,,,HSP90B1,TLR2,STRIATUM_1,STRIATUM_2
HSP90B1 -> TLR2,,,,HSP90B1,TLR2,STRIATUM_1,STRIATUM_2
MDK -> SORL1,,,,MDK,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
APP -> SORL1,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,,APP,SORL1,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV,,,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV,,,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV,,,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
L1CAM -> ITGAV,,,,L1CAM,ITGAV,STRIATUM_1,STRIATUM_2
NID1 -> ITGAV,,,,NID1,ITGAV,STRIATUM_1,STRIATUM_2
CALR -> ITGAV,,,,CALR,ITGAV,STRIATUM_1,STRIATUM_2
AZGP1 -> ITGAV,,,,AZGP1,ITGAV,STRIATUM_1,STRIATUM_2
VEGFA -> ITGAV,,,,VEGFA,ITGAV,STRIATUM_1,STRIATUM_2
VEGFA -> ITGAV,,,,VEGFA,ITGAV,STRIATUM_1,STRIATUM_2
VEGFA -> ITGAV,,,,VEGFA,ITGAV,STRIATUM_1,STRIATUM_2
VEGFA -> ITGAV,,,,VEGFA,ITGAV,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGAV,,,,ADAM15,ITGAV,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGAV,,,,ADAM15,ITGAV,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGAV,,,,ADAM15,ITGAV,STRIATUM_1,STRIATUM_2
ADAM15 -> ITGAV,,,,ADAM15,ITGAV,STRIATUM_1,STRIATUM_2
COL4A1 -> ITGAV,,,,COL4A1,ITGAV,STRIATUM_1,STRIATUM_2
FN1 -> ITGAV,,,,FN1,ITGAV,STRIATUM_1,STRIATUM_2
APP -> LRP6,,,,APP,LRP6,STRIATUM_1,STRIATUM_2
APP -> LRP6,,,,APP,LRP6,STRIATUM_1,STRIATUM_2
